[0x00004fe8] | Undefined            | INFO  | 2023-05-17 09:46:08,249 | --------------------------------------------------------------------------------
[0x00004fe8] | Undefined            | INFO  | 2023-05-17 09:46:08,250 | Loaded log config from C:\Users\videopro\AppData\Roaming\Blackmagic Design\DaVinci Resolve\Preferences\log-conf.xml
[0x00004fe8] | Undefined            | INFO  | 2023-05-17 09:46:08,250 | --------------------------------------------------------------------------------
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:08,251 | Running DaVinci Resolve Studio v18.1.2.0006 (Windows/MSVC x86_64)
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:08,251 | BMD_BUILD_UUID 3ff36663-26c9-45d9-8506-101676c881e0
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:08,251 | BMD_GIT_COMMIT a3be29d0542aeafcb1b0933bb5ace426aa7d047d
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,259 | Starting GPUDetect 1.2_3-a1
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,421 | Done in 161 ms.
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,421 | Detected System:
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,421 |   - OS: Windows 10 Pro (Build 19045)
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,421 |   - Model: ASUSTeK ROG STRIX B550-F GAMING (WI-FI)
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,421 |   - System ID: 838d5045-58b0-44ed-854c-19be5b814d6f
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,421 |   - CPU: AMD Ryzen 7 3700X, 16 threads, x86-64
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,421 |   - RAM: 16.6 GiB used of 63.9 GiB
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,421 |   - NVIDIA GPU Driver: 527.56, supports CUDA 12.0
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,421 | Detected 1 GPUs:
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,423 |   - "NVIDIA GeForce RTX 2060 SUPER" (gpu:a24a3d50.83f1fdb7) <- Main Display GPU
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,423 |     Discrete, 2.0 GiB used of 7.6 GiB VRAM, PCI:8:0 (x16)
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,423 |     Matches: CUDA, DirectX, NVAPI, NVML, OpenCL, Win32
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,423 | Detected 1 monitors:
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,423 |   - "Generic PnP Monitor" <- Main Monitor
[0x00004fe8] | GPUDetect            | INFO  | 2023-05-17 09:46:08,423 |     3840x2160, connected to "NVIDIA GeForce RTX 2060 SUPER" (gpu:a24a3d50.83f1fdb7)
[0x00004fe8] | Main.GPUConfig       | INFO  | 2023-05-17 09:46:08,424 | Selected compute API: CUDA
[0x00004fe8] | Main.GPUConfig       | INFO  | 2023-05-17 09:46:08,424 | Automatic GPU Selection:
[0x00004fe8] | Main.GPUConfig       | INFO  | 2023-05-17 09:46:08,424 |   - "NVIDIA GeForce RTX 2060 SUPER" (gpu:a24a3d50.83f1fdb7)
[0x00004fe8] | IO                   | INFO  | 2023-05-17 09:46:08,438 | RED InitializeSdk with library path at C:\ProgramData\Blackmagic Design\DaVinci Resolve\Support\Libraries
[0x00004fe8] | IO                   | INFO  | 2023-05-17 09:46:08,642 | R3DAPI 8.3.1-52407 (20220725 Wx64S) R3DSDK 8.3.1-52407 (20220725 Wx64D C3B3) RED CUDA 8.3.1-52408 (20220725) [C:\ProgramData\Blackmagic Design\DaVinci Resolve\Support\Libraries\] init is successful
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:08,642 | 0 RED rocket cards available
[0x00004fe8] | SyManager.DeckLink   | ERROR | 2023-05-17 09:46:08,645 | Failed to create instance.
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:08,645 | Decklink model name: '', version: ''
[0x00004fe8] | DVIP                 | INFO  | 2023-05-17 09:46:08,645 | DVIP release/18.1.2 build 2 (86acfdf407856b6cd8daf2517ab0b44f1efc332f). Release, version 18.1.2.
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:08,645 | Resolve Module Handle 00007FF6A4B50000
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:08,646 | Using DNxHR library v2.7.3.27r
[0x00002044] | Fusion               | INFO  | 2023-05-17 09:46:09,093 | Fusion Build: 008b13c7_0004 (Dec  7 2022 15:23:40)
[0x00005f70] | Fusion               | INFO  | 2023-05-17 09:46:09,114 | fusionsystem: = "C:\Program Files\Blackmagic Design\DaVinci Resolve\fusionsystem.dll"
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,117 | NVDEC is using upto (1023) MB
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,119 | NVDEC decodes H264, chroma 4:2:0, bitdepth 8, upto 4096 x 4096
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,121 | NVDEC decodes HEVC, chroma 4:2:0, bitdepth 8, upto 8192 x 8192
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,123 | NVDEC decodes HEVC, chroma 4:2:0, bitdepth 10, upto 8192 x 8192
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,127 | NVDEC decodes HEVC, chroma 4:2:0, bitdepth 12, upto 8192 x 8192
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,128 | NVDEC decodes HEVC, chroma 4:4:4, bitdepth 8, upto 8192 x 8192
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,130 | NVDEC decodes HEVC, chroma 4:4:4, bitdepth 10, upto 8192 x 8192
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,131 | NVDEC decodes HEVC, chroma 4:4:4, bitdepth 12, upto 8192 x 8192
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,133 | NVDEC decodes VP9, chroma 4:2:0, bitdepth 8, upto 8192 x 8192
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,134 | NVDEC decodes VP9, chroma 4:2:0, bitdepth 10, upto 8192 x 8192
[0x00005f70] | Fusion               | INFO  | 2023-05-17 09:46:09,148 | FusionLibs: = "C:\Program Files\Blackmagic Design\DaVinci Resolve\"
[0x00005f70] | Fusion               | INFO  | 2023-05-17 09:46:09,148 | UserData:   = "C:\Users\videopro\AppData\Roaming\Blackmagic Design\DaVinci Resolve\Support\Fusion"
[0x00005f70] | Fusion               | INFO  | 2023-05-17 09:46:09,148 | Profiles:   = "UserData:Profiles\"
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,148 | Nvidia GPU (0) is initialised as decoding and encoding device.
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,182 | IO codec library load completed in 536 ms.
